"industry_code","industry_employment_share","location_quotient","industry_present","industry_comparative_advantage","industry_feasibility","industry_feasibility_percentile_score"
"111000",0.0242705208617398,4.78146475123187,1,1,0.188319901378004,10.21
"112000",0,0,0,0,0.18599308209464,8.5
"113110",0,0,0,0,0.127595662464573,11.26
"113210",0,0,0,0,0.105276344758523,10.91
"113310",0.00109080992637033,3.0554821730338,1,1,0.174720961037704,10.34
"114111",0,0,0,0,0.112574467209473,12.09
"114112",0,0,0,0,0.113272618544009,13.43
"114119",0,0,0,0,0.0693692644152009,12.79
"114210",0,0,0,0,0.151184900749408,10.24
"115111",0.00381783474229616,109.03376006685,1,1,0.146055359060304,28.32
"115112",0.00218161985274066,11.0052885121154,1,1,0.187285180002369,10.12
"115113",0,0,0,0,0.132999338550491,11.23
"115114",0,0,0,0,0.127486129042929,13.39
"115115",0.0160894464139624,8.19348164711757,1,1,0.203812522635089,10.66
"115116",0.0016362148895555,12.3455815588157,1,1,0.147065340258523,15.56
"115210",0,0,0,0,0.172704688221694,7.86
"115310",0,0,0,0,0.148312221320447,10.94
"211120",0,0,0,0,0.119535108059065,12.15
"211130",0,0,0,0,0.10582052508252,11.64
"212114",0,0,0,0,0.0882551098915593,14.79
"212115",0,0,0,0,0.0829261010145109,15.56
"212210",0,0,0,0,0.05236845526955,9.2
"212220",0,0,0,0,0.0731143878670628,10.53
"212230",0,0,0,0,0.054859687643132,8.02
"212290",0,0,0,0,0.0645444472489278,9.51
"212311",0,0,0,0,0.0879209190969023,8.62
"212312",0,0,0,0,0.113101258051352,9.35
"212313",0,0,0,0,0.068022866376149,13.08
"212319",0,0,0,0,0.0822133947519189,9.77
"212321",0,0,0,0,0.127945654209873,8.46
"212322",0,0,0,0,0.07358208895529,11.87
"212323",0,0,0,0,0.0704096754807509,11.14
"212390",0,0,0,0,0.0842961392648505,11.1
"213111",0,0,0,0,0.119269346673697,10.5
"213112",0,0,0,0,0.136188863074187,11.1
"213113",0,0,0,0,0.0826828183050787,13.2
"213114",0,0,0,0,0.0643928993016062,8.62
"213115",0,0,0,0,0.072126850506005,11.64
"221111",0,0,0,0,0.0811219093531402,9.23
"221112",0,0,0,0,0.10210053164557,12.63
"221113",0,0,0,0,0.0538090332667513,13.87
"221114",0,0,0,0,0.0659466061548241,14.54
