industry_id,industry_code,industry_description
156,321212,Softwood Veneer and Plywood Manufacturing
157,321215,Engineered Wood Member Manufacturing
158,321219,Reconstituted Wood Product Manufacturing
159,321911,Wood Window and Door Manufacturing
160,321912,"Cut Stock, Resawing Lumber, and Planing"
161,321918,Other Millwork (including Flooring)
162,321920,Wood Container and Pallet Manufacturing
163,321991,Manufactured Home (Mobile Home) Manufacturing
164,321992,Prefabricated Wood Building Manufacturing
165,321999,All Other Miscellaneous Wood Product Manufacturing
166,322110,Pulp Mills
167,322120,Paper Mills
168,322130,Paperboard Mills
169,322211,Corrugated and Solid Fiber Box Manufacturing
170,322212,Folding Paperboard Box Manufacturing
171,322219,Other Paperboard Container Manufacturing
172,322220,Paper Bag and Coated and Treated Paper Manufacturing
173,322230,Stationery Product Manufacturing
174,322291,Sanitary Paper Product Manufacturing
175,322299,All Other Converted Paper Product Manufacturing
176,323111,Commercial Printing (except Screen and Books)
177,323113,Commercial Screen Printing
178,323117,Books Printing
179,323120,Support Activities for Printing
180,324110,Petroleum Refineries
181,324121,Asphalt Paving Mixture and Block Manufacturing
182,324122,Asphalt Shingle and Coating Materials Manufacturing
183,324191,Petroleum Lubricating Oil and Grease Manufacturing
184,324199,All Other Petroleum and Coal Products Manufacturing
185,325110,Petrochemical Manufacturing
186,325120,Industrial Gas Manufacturing
187,325130,Synthetic Dye and Pigment Manufacturing
188,325180,Other Basic Inorganic Chemical Manufacturing
189,325193,Ethyl Alcohol Manufacturing
190,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing"
191,325199,All Other Basic Organic Chemical Manufacturing
192,325211,Plastics Material and Resin Manufacturing
193,325212,Synthetic Rubber Manufacturing
194,325220,Artificial and Synthetic Fibers and Filaments Manufacturing
195,325311,Nitrogenous Fertilizer Manufacturing
196,325312,Phosphatic Fertilizer Manufacturing
197,325314,Fertilizer (Mixing Only) Manufacturing
198,325315,Compost Manufacturing
199,325320,Pesticide and Other Agricultural Chemical Manufacturing
200,325411,Medicinal and Botanical Manufacturing
201,325412,Pharmaceutical Preparation Manufacturing
202,325413,In-Vitro Diagnostic Substance Manufacturing
203,325414,Biological Product (except Diagnostic) Manufacturing
204,325510,Paint and Coating Manufacturing
205,325520,Adhesive Manufacturing
206,325611,Soap and Other Detergent Manufacturing
207,325612,Polish and Other Sanitation Good Manufacturing
208,325613,Surface Active Agent Manufacturing
209,325620,Toilet Preparation Manufacturing
210,325910,Printing Ink Manufacturing
211,325920,Explosives Manufacturing
212,325991,Custom Compounding of Purchased Resins
213,325992,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing"
214,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
215,326111,Plastics Bag and Pouch Manufacturing
216,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing
217,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing
218,326121,Unlaminated Plastics Profile Shape Manufacturing
219,326122,Plastics Pipe and Pipe Fitting Manufacturing
220,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
221,326140,Polystyrene Foam Product Manufacturing
222,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing
223,326160,Plastics Bottle Manufacturing
224,326191,Plastics Plumbing Fixture Manufacturing
225,326199,All Other Plastics Product Manufacturing
226,326211,Tire Manufacturing (except Retreading)
227,326212,Tire Retreading
228,326220,Rubber and Plastics Hoses and Belting Manufacturing
229,326291,Rubber Product Manufacturing for Mechanical Use
230,326299,All Other Rubber Product Manufacturing
231,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
232,327120,Clay Building Material and Refractories Manufacturing
233,327211,Flat Glass Manufacturing
234,327212,Other Pressed and Blown Glass and Glassware Manufacturing
235,327213,Glass Container Manufacturing
236,327215,Glass Product Manufacturing Made of Purchased Glass
237,327310,Cement Manufacturing
238,327320,Ready-Mix Concrete Manufacturing
239,327331,Concrete Block and Brick Manufacturing
240,327332,Concrete Pipe Manufacturing
