industry_code,industry_ubiquity,industry_complexity,industry_complexity_percentile
333612,13,-0.9254753733804704,19.01
333613,19,-0.8331465654879217,22.39
333618,13,-1.335227895410748,8.24
333912,15,-1.0360169806405166,15.52
333914,19,-1.1748667690953192,12.25
333921,12,-0.8154122796785012,23.23
333922,19,-1.4625367437215717,6.02
333923,17,-1.109514898543411,13.94
333924,16,-1.225796453196204,11.19
333991,10,-0.8596866520002218,21.54
333992,11,-1.3672962538332851,7.29
333993,14,-1.0065982050718336,16.47
333994,11,-0.7368299893880974,26.08
333995,15,-1.7812631771215544,1.9
333996,12,-1.1236968978984234,13.31
333998,16,-0.8651748629531119,21.01
334111,9,0.9016202833892123,79.51
334112,5,1.2495562288308264,87.01
334118,12,0.24760250040295056,62.09
334210,10,-0.6361078634935253,29.46
334220,14,0.700836633310605,75.08
334290,17,0.8634011778627011,78.67
334310,11,0.2594719346364104,62.41
334412,15,0.4202160783368271,66
334413,8,1.459696216194989,90.6
334416,16,0.4508051491235018,67.37
334417,14,0.3826069393849424,65.47
334418,16,-0.18459081031327332,46.78
334419,15,0.08063630538450708,56.39
334510,9,1.3967449316732168,89.55
334511,12,1.7646276622715416,95.78
334512,13,-0.9295913369755373,18.9
334513,19,-0.3040865958398944,42.34
334514,12,-0.672458618033582,28.19
334515,10,1.1505545498696579,85.11
334516,15,1.0514569106357157,82.58
334517,8,1.4338868537768636,90.18
334519,12,0.8486799597735701,78.46
334610,11,0.08604362238467236,56.71
335131,13,-0.09518023132743159,49.84
335132,17,-0.11739011541153112,48.57
335139,12,-0.3304467485296927,41.29
335210,9,-0.4400045322214995,36.11
335220,11,-1.963138273433284,0.84
335311,13,-1.3940619414617728,6.76
335312,17,-1.55070035918186,4.65
335313,15,-1.0862068009059536,14.36
335314,13,-0.1158244347667732,48.68
335910,13,-1.276369858855718,10.35
335921,9,0.1518531776992075,58.71
335929,15,-0.3621083420852917,40.13
335931,15,-0.8124873963342136,23.34
335932,12,-1.278004021131116,10.24
335991,16,-0.9435550862308901,17.95
335999,16,0.6489337224669197,73.5
336110,10,-2.0732015954007412,0.32
336120,15,-1.0041471684187364,16.58
336211,15,-1.8392600572784046,1.48
336212,21,-1.4839575516158334,5.39
336213,4,-1.9213327033975667,1.06
336214,11,-0.9497191527039838,17.63
336310,13,-1.9498781377965582,0.95
336320,12,-1.8624269187733247,1.37
336330,11,-1.496886872824077,5.17
336340,9,-1.9766282049107458,0.74
336350,9,-2.1541681182500523,0.11
336360,11,-2.0367176262575426,0.53
336370,11,-2.114947974120704,0.21
336390,15,-1.6818927060749265,2.64
336411,11,-0.17002367420020634,47.31
336412,12,0.18692976911401973,60.08
336413,17,-0.4250174775775113,37.28
336414,8,1.5874454582298965,92.5
336415,12,-0.42745073569050746,36.96
336419,5,-0.18681410600464754,46.67
336510,16,-0.3100773166412281,42.03
336611,10,0.2590396427092931,62.3
336612,17,-0.3450240254168848,40.76
336991,9,-0.04190368290500168,51.74
336992,10,-1.4491970143638568,6.12
336999,10,-1.8114117050532024,1.8
337110,21,-1.1565563119649043,12.88
337121,7,-1.6615773930884143,2.96
337122,20,-0.006423969184289913,53.33
337126,9,-0.7165616971767341,26.61
337127,16,-1.03174049316619,15.73
337211,7,-1.4785063065597053,5.6
337212,22,0.45481600150080614,67.48
337214,9,-0.7237860547896007,26.4
337215,21,-1.3826423709144218,7.18
337910,17,-0.21303250636336277,46.15
337920,16,0.6670512249324378,74.23
339112,15,0.5725779991762325,71.28
339113,17,-0.22025837620514285,45.72
339114,11,0.8586672271090166,78.56
339115,11,0.8155021915049039,77.72
339116,15,0.07675146679216231,56.28
339910,14,1.4817536291775664,90.92
339920,19,-0.42617250452124406,37.17
339930,15,0.6561797911790945,73.6
339940,12,-0.10987858965051299,48.79
339950,20,-0.8661665768505369,20.91
339991,13,-0.878546440941989,20.27
339992,14,1.0418254856626823,82.26
339993,11,0.15607402527602116,59.03
339994,14,-0.8242189390682194,22.81
339995,10,-1.2888930197900872,10.14
339999,14,-0.6527579414474576,29.04
423110,27,-1.103045846832866,14.15
423120,16,-1.2945123817337834,9.4
423130,21,-1.0451334421697096,15.1
423140,23,-0.9923323588256111,17
423210,17,0.21762462930814555,60.82
423220,12,0.4487791584883154,67.16
423310,22,-0.3752483510334888,39.39
423320,17,0.4228199461788992,66.1
423330,26,-0.29535653324061945,43.4
423390,22,-0.2823694403884796,43.72
423410,7,0.8943413748319922,79.2
423420,22,-0.3982167473613302,38.65
423430,15,1.0771213261099912,83.53
423440,16,-0.21868843449367578,45.83
423450,21,0.11820404277915315,57.66
423460,15,0.29647643327062817,63.36
423490,19,0.3182107773470309,63.89
423510,16,-1.315285510543995,8.76
423520,13,-0.18807244623251645,46.57
423610,22,-0.6630841825411302,28.41
423620,14,0.6636605103198459,74.13
423690,13,0.7753984043690685,76.87
423710,18,-0.3079560367847686,42.13
