cbsa_geoid,cbsa_name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score
39040,"Port Townsend, WA Micro Area",184,1.4132506955640398,89.84
42660,"Seattle-Tacoma-Bellevue, WA Metro Area",269,3.1306141290938374,99.14
14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",175,1.3346442827515284,88.97
21260,"Ellensburg, WA Micro Area",153,0.12443641925687289,63.35
16500,"Centralia, WA Micro Area",191,-0.33498903530037333,44.65
43220,"Shelton, WA Micro Area",138,0.42343941004327423,73.08
34580,"Mount Vernon-Anacortes, WA Metro Area",229,0.4628287565221,74.05
44060,"Spokane-Spokane Valley, WA Metro Area",294,0.6865745236832498,78.38
36500,"Olympia-Lacey-Tumwater, WA Metro Area",182,1.0623693312977653,83.89
47460,"Walla Walla, WA Metro Area",128,0.10663991428410383,62.92
13380,"Bellingham, WA Metro Area",275,1.0967213233689865,84.54
39420,"Pullman, WA Micro Area",96,0.21121289991573897,66.27
49420,"Yakima, WA Metro Area",151,-0.5108416597173728,37.08
16620,"Charleston, WV Metro Area",185,0.3380110892856587,70.27
17220,"Clarksburg, WV Micro Area",148,-0.2662194794381846,48.11
13220,"Beckley, WV Metro Area",160,-0.2190574004780784,50.59
21900,"Fairmont, WV Micro Area",156,-0.25232367205508455,48.76
34060,"Morgantown, WV Metro Area",148,-0.043372945344348865,57.84
21180,"Elkins, WV Micro Area",132,-0.6702333334753149,28.76
37620,"Parkersburg-Vienna, WV Metro Area",174,-0.34814557871997065,44.11
39960,"Rice Lake, WI Micro Area",156,-0.6968356583648078,27.24
24580,"Green Bay, WI Metro Area",243,0.09033001702255311,62.49
11540,"Appleton, WI Metro Area",247,0.21347874722987056,66.38
20740,"Eau Claire, WI Metro Area",235,0.2183319137244391,66.59
31540,"Madison, WI Metro Area",264,1.4437528955466195,90.16
13180,"Beaver Dam, WI Micro Area",144,-0.752673311056193,24.11
32860,"Menomonie, WI Micro Area",128,-0.40539483332727705,41.95
22540,"Fond du Lac, WI Metro Area",200,-0.49766947695380903,37.51
38420,"Platteville, WI Micro Area",149,-0.9443056362467823,15.14
48020,"Watertown-Fort Atkinson, WI Micro Area",183,-0.04582981722368357,57.73
28450,"Kenosha, WI Metro Area",187,0.5914251229629331,76.43
