commuting_zone_geoid,commuting_zone_name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score
466,"Paris, TN",185,-0.4493263780032479,36.56
467,"Johnson, TN",245,0.2494869134310823,65.65
468,"Nashville-Davidson, TN",310,2.423856313297737,97.79
469,"Jackson, TN",246,-0.10657286590024044,52.04
470,"Cookeville, TN",228,-0.05224187193295779,54.25
471,"Morristown, TN",218,0.5868341099650458,76.02
472,"Crossville, TN",160,-0.052002429289617756,54.42
473,"Dyersburg, TN",123,-0.8441869287817054,19.73
474,"Columbia, TN",238,0.17158147247312652,62.24
475,"Tyler, TX",262,-0.26231680346368297,44.73
476,"Odessa, TX",176,-0.44157164071131016,37.24
477,"Lufkin, TX",184,-0.6836489918555271,26.02
478,"McAllen, TX",220,-0.07992565268576596,52.89
479,"Amarillo, TX",258,-0.3037907975083057,43.54
480,"San Antonio, TX",250,0.7175645489139704,79.42
481,"Houston, TX",325,1.1848872249491067,87.24
482,"Austin, TX",288,2.6585986105607824,98.3
483,"Snyder, TX",142,-1.0873840362610476,12.41
484,"Killeen, TX",220,0.19842063141570046,63.1
485,"Lubbock, TX",236,-0.002110730356323597,55.61
486,"College Station--Bryan, TX",190,0.15292308956100595,61.39
487,"Alpine, TX",120,-0.1615256346963351,48.98
488,"Plainview, TX",137,-1.152758280244328,10.03
489,"Alice, TX",101,-1.0125309851702762,14.8
490,"Brownwood, TX",193,-0.7632399730536809,22.45
491,"Victoria, TX",214,-0.5552728677591601,32.14
492,"Abilene, TX",199,-0.2290031078415368,46.26
493,"Brownsville, TX",176,0.24481134942587005,65.31
494,"Childress, TX",134,0.1215599929428449,60.03
495,"San Angelo, TX",203,-0.6102935260598334,28.74
496,"Gonzales, TX",175,-0.7003452032653094,25.51
497,"Greenville, TX",215,-0.471061096554351,35.54
498,"Eagle Pass, TX",153,-0.6350596351021067,27.38
499,"Graham, TX",170,-0.9542938774446389,16.33
500,"Uvalde, TX",151,-0.6265940849022408,27.72
501,"Sweetwater, TX",114,-1.238439412213401,8.16
502,"Vernon, TX",104,-1.1430493666647188,10.71
503,"Mexia, TX",123,-1.3013624239672883,6.97
504,"Seminole, TX",137,-1.2269344940134785,8.84
505,"Kerrville, TX",216,0.18069023777072166,62.76
506,"Pampa, TX",132,-1.09284105028986,12.07
507,"Longview, TX",248,-0.3170580426819302,41.84
508,"Fort Worth, TX",336,0.9578114994049337,82.99
509,"Brady, TX",126,-0.8374150818300096,20.07
510,"Matador, TX",94,-0.2216921440802475,46.43
511,"Nacogdoches, TX",167,-0.8700334889456363,18.88
512,"Fort Stockton, TX",109,-1.5110213686680958,3.57
513,"Sanderson, TX",60,-0.29413421141346974,43.88
514,"Zapata--Medina, TX",94,-0.5858358260883066,29.93
515,"Price, UT",122,-0.8631577344035197,19.22
516,"Vernal, UT",168,-0.7075823366329502,25.34
517,"Salt Lake, UT",363,1.9360350666048247,95.07
518,"Richfield, UT",150,-0.6222466727463127,28.23
519,"Moab, UT",117,0.2995974349761374,67.35
520,"Delta, UT",95,-1.0694027105760346,13.27
521,"Burlington, VT",263,1.0589101129848946,84.69
522,"Chincoteague, VA",115,0.10304101383677784,59.35
523,"Charlottesville, VA",183,1.7934463080649372,94.9
524,"Covington, VA",125,0.039832507395283365,57.65
525,"Richmond, VA",273,1.6023058223305073,92.69
526,"Lynchburg, VA",207,0.4040801850072633,70.75
527,"Harrisonburg, VA",226,0.3365660682033629,68.54
528,"Roanoke, VA",227,0.5458368439640133,73.98
529,"Bluefield, WV-VA",160,-0.5914734812041751,29.76
530,"Farmville, VA",160,-0.42476558021430055,37.76
531,"Fredericksburg, VA",204,1.0395431758181337,84.52
532,"Leesburg, VA",235,1.6382993743626886,93.03
533,"Warrenton--New Baltimore, VA",211,0.6700596875348095,78.4
534,"Wise--Norton, VA",116,-1.0176105550636898,14.63
535,"Tappahannock, VA",172,0.03686830152100469,57.31
536,"Newport News, VA",159,1.3301367176051158,89.97
537,"Martinsville, VA",154,0.03090369044783301,56.8
538,"Lexington, VA",136,0.2200721594685031,64.12
539,"Moses Lake, WA",130,-0.6627488429024384,26.36
540,"Wenatchee, WA",172,0.3010733648495834,67.52
541,"Sequim, WA",199,0.7589699914119837,80.1
542,"Seattle--Tacoma, WA",278,2.363178291209856,97.28
543,"Yakima, WA",166,-0.4827661039384564,35.03
544,"Friday Harbor, WA",199,1.3752719422496442,90.65
545,"Elkins, WV",139,-0.6380822069992754,27.21
546,"Charleston, WV",212,0.20410973638151275,63.27
547,"Morgantown, WV",178,-0.31958339246706946,41.67
548,"Beckley, WV",178,-0.16379533332875018,48.47
549,"Summersville, WV",126,-0.4963922094427661,34.35
550,"Wausau, WI",266,-0.1581365612787808,49.32
551,"Ashland, WI",152,-0.22129240719221233,46.77
552,"Rice Lake, WI",213,-0.30051836286498135,43.71
553,"Green Bay, WI",271,0.46527881781087604,72.79
554,"Appleton, WI",277,0.28404638023356643,66.5
555,"Madison, WI",275,1.2226167380058588,87.76
556,"Rhinelander, WI",190,-0.15407552192423854,49.66
557,"Milwaukee, WI",355,1.4350803684361317,91.67
558,"Sheboygan, WI",202,0.03220049236359274,56.97
559,"Cody, WY",194,-0.5399493410044818,32.99
560,"Gillette, WY",156,-1.2807656148847748,7.31
561,"Rock Springs, WY",148,-1.204947346287918,9.18
562,"Casper, WY",232,-0.15073615370711693,49.83
563,"Riverton, WY",187,-0.5600236687646024,31.63
564,"Torrington, WY",134,-1.1797988590249269,9.52
