"csa_geoid","csa_name","industrial_diversity","economic_complexity_index","economic_complexity_percentile_score","constituent_county_geoids","constituent_state_fips","constituent_state_names","n_constituent_counties","n_constituent_states"
"147","Boise City-Mountain Home-Ontario, ID-OR CSA",322,0.975386591094498,84.53,"16001|16015|16027|16039|16045|16073|16075|41045","16|41","Idaho|Oregon",8,2
"292","Idaho Falls-Rexburg-Blackfoot, ID CSA",247,0.279535543414974,71.27,"16011|16019|16023|16043|16051|16065","16","Idaho",6,1
"518","Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA",318,0.352239934472473,74.59,"16055|53063|53065","16|53","Idaho|Washington",3,2
"446","Pullman-Moscow, WA-ID CSA",128,0.120375837365984,65.19,"16057|53075","16|53","Idaho|Washington",2,2
"482","Salt Lake City-Provo-Orem, UT-ID CSA",365,1.54456788907037,90.61,"16071|49003|49011|49023|49029|49035|49043|49045|49049|49051|49057","16|49","Idaho|Utah",11,2
"448","Quincy-Hannibal, IL-MO CSA",209,-0.712625121404745,25.41,"17001|29111|29127|29173","17|29","Illinois|Missouri",4,2
"164","Cape Girardeau-Sikeston, MO-IL CSA",232,-0.872995605213225,17.13,"17003|29017|29031|29133|29201","17|29","Illinois|Missouri",5,2
"476","St. Louis-St. Charles-Farmington, MO-IL CSA",312,-0.0839913082090513,55.8,"17005|17013|17027|17083|17117|17119|17121|17133|17163|29071|29099|29113|29183|29187|29189|29219|29510","17|29","Illinois|Missouri",17,2
"466","Rockford-Freeport-Rochelle, IL CSA",251,-1.18535793717358,5.52,"17007|17141|17177|17201","17","Illinois",4,1
"176","Chicago-Naperville, IL-IN-WI CSA",410,0.819067965071569,82.32,"17011|17031|17037|17043|17063|17089|17091|17093|17097|17099|17111|17155|17197|18073|18089|18091|18111|18127|55059","17|18|55","Illinois|Indiana|Wisconsin",19,3
"169","Champaign-Urbana-Danville, IL CSA",173,-0.288312809216404,48.07,"17019|17053|17147|17183","17","Illinois",4,1
