"commuting_zone_geoid","commuting_zone_name","industrial_diversity","economic_complexity_index","economic_complexity_percentile_score","constituent_county_geoids","constituent_state_fips","constituent_state_names","n_constituent_counties","n_constituent_states"
"37","Blytheville, AR",124,-0.762242756330639,22.62,"05093|29069|29155","05|29","Arkansas|Missouri",3,2
"38","De Queen, AR",150,-0.835387208480078,20.24,"05113|05133|40023|40089|40127","05|40","Arkansas|Oklahoma",5,2
"39","San Francisco--Oakland, CA",294,3.28397018527119,99.66,"06001|06013|06041|06055|06075|06081|06095|06097","06","California",8,1
"40","Reno, NV-CA",297,1.1061358649817,86.39,"06003|06017|32001|32005|32019|32021|32029|32031|32510","06|32","California|Nevada",9,2
"41","Stockton, CA",243,0.129290459159426,60.37,"06005|06009|06047|06077|06099|06109","06","California",6,1
"42","Redding, CA",241,0.153505259634671,61.56,"06007|06021|06089|06103|06105","06","California",5,1
"43","Sacramento, CA",240,1.35534653172638,90.31,"06011|06057|06061|06067|06101|06113|06115","06","California",7,1
"44","Crescent, CA",139,0.0100070360241046,55.95,"06015|41015","06|41","California|Oregon",2,2
"45","Fresno, CA",212,0.30471231583818,67.69,"06019|06031|06039|06043|06107","06","California",5,1
"46","Eureka, CA",181,0.216581908465429,63.44,"06023","06","California",1,1
"47","Bakersfield, CA",179,-0.260149526298662,44.9,"06027|06029|06051","06","California",3,1
"48","Ukiah, CA",183,0.217042045929227,63.95,"06033|06045","06","California",2,1
"49","Susanville, CA",138,-0.1467184669274,50.51,"06035|06063|06091","06","California",3,1
"50","Klamath Falls--Altamont, OR",178,-0.461822965239808,36.05,"06049|06093|41035","06|41","California|Oregon",3,2
"51","San Jose, CA",169,3.07506837717832,99.49,"06053|06069|06085|06087","06","California",4,1
"52","San Diego, CA",282,2.8598204739811,99.15,"06073","06","California",1,1
"53","Santa Barbara, CA",241,1.72940272105308,94.39,"06079|06083","06","California",2,1
"54","Denver--Aurora, CO",329,2.71708022059134,98.64,"08001|08005|08013|08014|08019|08031|08035|08039|08047|08059|08093","08","Colorado",11,1
"55","Alamosa, CO",160,-0.489807221903828,34.86,"08003|08021|08023|08079|08105|08109","08","Colorado",6,1
"56","Farmington, NM",233,-0.160959289488999,49.15,"08007|08033|08067|08083|08111|35045","08|35","Colorado|New Mexico",6,2
"57","Lamar, CO",110,-1.24129672290312,7.99,"08009|08011|08061|08099","08","Colorado",4,1
"58","Salida, CO",168,0.656716226291985,77.89,"08015","08","Colorado",1,1
"59","Burlington, CO",111,-1.11179931547499,11.56,"08017|08063","08","Colorado",2,1
"60","Colorado Springs, CO",223,1.03889394134205,84.35,"08025|08027|08041|08043|08073|08089|08101|08119","08","Colorado",8,1
"61","Grand Junction, CO",290,0.361358029557225,70.07,"08029|08077|08085|08091|08113","08","Colorado",5,1
"62","Edwards--Avon, CO",191,1.30953801846353,89.8,"08037|08045|08065|08097|08117","08","Colorado",5,1
"63","Laramie, WY",144,0.144949726314519,61.05,"08049|08057|56001","08|56","Colorado|Wyoming",3,2
"64","Gunnison, CO",165,0.980280635855952,83.5,"08051|08053","08","Colorado",2,1
"65","Trinidad, CO",122,-0.592797067716828,29.25,"08055|08071","08","Colorado",2,1
"66","Fort Collins, CO",288,0.438656930664868,71.77,"08069|08087|08123","08","Colorado",3,1
"67","Sterling, CO",116,-1.76166794014984,1.19,"08075|08095|08121|08125","08","Colorado",4,1
"68","Steamboat Springs, CO",205,0.490834831851207,73.13,"08081|08103|08107","08","Colorado",3,1
"69","Sidney, NE",104,-1.42422510804865,4.59,"08115|31033|31049|31069","08|31","Colorado|Nebraska",4,2
"70","Hartford, CT",299,2.24091811481285,96.77,"09110|09120|09130|09140|09150|09160|09170|09180|09190","09","Connecticut",9,1
"71","Dover, DE",255,0.55564515197588,74.49,"10001|10005|24011|24019|24029|24035|24039|24041|24045|24047","10|24","Delaware|Maryland",10,2
"72","Philadelphia, PA",273,2.65028430169141,98.13,"10003|24015|42017|42029|42045|42091|42101","10|24|42","Delaware|Maryland|Pennsylvania",7,3
"73","Washington, DC",156,3.554512464475,100,"11001|24009|24017|24033|24037|51013|51059|51153|51510|51600|51610|51683|51685","11|24|51","District of Columbia|Maryland|Virginia",13,3
"74","Gainesville, FL",165,0.831870463054568,81.29,"12001|12029|12041|12075","12","Florida",4,1
"75","Jacksonville, FL",307,1.65448386128037,93.71,"12003|12007|12019|12031|12089|12107|12109|12125|13039|13049","12|13","Florida|Georgia",10,2
"76","Panama City--Panama City Beach, FL",226,0.604226635707225,77.04,"12005|12013|12045|12059|12063|12077|12133","12","Florida",7,1
"77","Port St. Lucie, FL",298,2.00423369639995,95.41,"12009|12061|12085|12093|12099|12111","12","Florida",6,1
"78","Miami, FL",355,2.66691166523381,98.47,"12011|12086|12087","12","Florida",3,1
"79","Bradenton--Sarasota--Venice, FL",280,1.4724131734487,92.01,"12015|12027|12081|12115","12","Florida",4,1
"80","Orlando, FL",304,1.99589328445933,95.24,"12017|12069|12083|12095|12097|12117|12119","12","Florida",7,1
"81","Cape Coral, FL",263,1.26191595533255,88.27,"12021|12043|12051|12071","12","Florida",4,1
"82","Lake, FL",189,-0.660925961236727,26.53,"12023|12047|12067|12079|12121|12123","12","Florida",6,1
"83","Pensacola, FL-AL",233,1.29489002406828,89.29,"12033|12091|12113|12131","12","Florida",4,1
"84","Daytona Beach--Palm Coast--Port Orange, FL",261,1.26793070345305,88.44,"12035|12127","12","Florida",2,1
"85","Eastpoint, FL",117,0.87608826880184,82.14,"12037","12","Florida",1,1
"86","Tallahassee, FL",197,0.808412934496368,81.12,"12039|12065|12073|12129|13087|13131|13201|13253|13275","12|13","Florida|Georgia",9,2
"87","Lakeland, FL",275,0.443149231295621,71.94,"12049|12055|12105","12","Florida",3,1
"88","Tampa--St. Petersburg, FL",335,2.10596961258959,95.92,"12053|12057|12101|12103","12","Florida",4,1
"89","Douglas, GA",173,-0.51776022849642,33.67,"13001|13003|13005|13069|13161","13","Georgia",5,1
"90","Albany, GA",192,-0.281873041629984,44.22,"13007|13071|13095|13177|13205|13273|13321","13","Georgia",7,1
"91","Milledgeville, GA",186,-0.347555150608023,39.8,"13009|13133|13141|13211|13237|13265|13303|13319","13","Georgia",8,1
"92","Gainesville, GA",356,1.38896603850983,91.16,"13011|13013|13085|13117|13135|13137|13139|13157|13187|13257|13297|13311","13","Georgia",12,1
"93","Dalton, GA",219,0.296121091003607,67.18,"13015|13055|13115|13129|13213|13233|13313","13","Georgia",7,1
"94","Tifton, GA",168,-0.56466337185934,30.61,"13017|13081|13093|13155|13277|13287|13315","13","Georgia",7,1
"95","Valdosta, GA",187,-0.322698336328484,41.16,"13019|13027|13065|13075|13101|13173|13185","13","Georgia",7,1
"96","Warner Robins, GA",172,0.179333813660349,62.59,"13021|13023|13079|13091|13153|13169|13207|13225|13235|13289","13","Georgia",10,1
"97","Brunswick--St. Simons, GA",200,0.261685660845107,65.82,"13025|13127|13191|13229|13299","13","Georgia",5,1
"98","Savannah, GA",235,0.364519609028543,70.24,"13029|13031|13043|13051|13103|13107|13109|13165|13179|13183|13251|13267|13305","13","Georgia",13,1
"99","Augusta-Richmond County, GA",204,0.244232998793964,65.14,"13033|13073|13125|13163|13181|13189|13245|13301|13317","13","Georgia",9,1
"100","Atlanta, GA",317,2.80559093935662,98.98,"13035|13063|13067|13089|13097|13113|13121|13151|13159|13171|13217|13223|13231|13247|13255|13293","13","Georgia",16,1
"101","Chattanooga, TN-GA",295,0.659003978449646,78.06,"13047|13083|13295|47007|47011|47065|47107|47115|47121|47139|47143|47153","13|47","Georgia|Tennessee",12,2
"102","Woodstock, GA",271,0.942273367882717,82.65,"13057|13111|13123|13227","13","Georgia",4,1
"103","Athens-Clarke County, GA",186,0.554992461600562,74.32,"13059|13105|13119|13147|13195|13219|13221","13","Georgia",7,1
"104","Dublin, GA",175,-0.67174346913452,26.19,"13167|13175|13209|13271|13279|13283|13309","13","Georgia",7,1
"105","Americus, GA",154,-0.568529686540151,30.27,"13193|13249|13259|13261|13307","13","Georgia",5,1
"106","Waynesville, NC",160,0.281447488319147,66.33,"13241|37075|37087|37099|37113|37173","13|37","Georgia|North Carolina",6,2
"107","Andrews, NC",173,-0.0201816149708908,55.44,"13281|13291|37039|37043","13|37","Georgia|North Carolina",4,2
"586","Hilo, HI",202,1.26826116441404,88.61,"15001","15","Hawaii",1,1
"587","Honolulu, HI",208,2.16118264185321,96.43,"15003","15","Hawaii",1,1
"588","Kapaa, HI",160,1.60241086074231,92.86,"15007","15","Hawaii",1,1
