"commuting_zone_geoid","commuting_zone_name","industrial_diversity","economic_complexity_index","economic_complexity_percentile_score","constituent_county_geoids","constituent_state_fips","constituent_state_names","n_constituent_counties","n_constituent_states"
"212","Clarksville, TN-KY",172,0.174281885750985,62.41,"21047|21221|47083|47125|47161","21|47","Kentucky|Tennessee",5,2
"213","Richmond, KY",194,-0.21975088297731,46.94,"21051|21065|21109|21121|21125|21151|21203|21235","21","Kentucky",8,1
"214","Somerset, KY",196,-0.322765288627325,40.99,"21053|21057|21147|21199|21231","21","Kentucky",5,1
"215","Owensboro, KY",189,-0.31081311218676,42.52,"21059|21091|21149|21183","21","Kentucky",4,1
"216","Pikeville, KY",151,-0.560510053580108,31.46,"21071|21115|21127|21153|21159|21195|54045|54059","21|54","Kentucky|West Virginia",8,2
"217","Harlan, KY",86,-0.624090203819717,28.06,"21095","21","Kentucky",1,1
"218","Lafayette, LA",271,0.100710290576367,59.18,"22001|22039|22045|22055|22097|22099|22113","22","Louisiana",7,1
"219","Lake Charles, LA",239,-0.15006351959222,50.17,"22003|22011|22019|22023|22053|22115|48199|48241|48245|48351|48361","22|48","Louisiana|Texas",11,2
"220","New Orleans, LA",311,1.26844798196264,88.78,"22005|22051|22071|22075|22087|22089|22093|22095|22103|22117|28109","22|28","Louisiana|Mississippi",11,2
"221","Houma, LA",183,-0.164319606964469,48.3,"22007|22057|22101|22109","22","Louisiana",4,1
"222","Alexandria, LA",188,-0.466982221503734,35.88,"22009|22025|22043|22059|22079","22","Louisiana",5,1
"223","Monroe, LA",225,-0.155490769214595,49.49,"22013|22021|22049|22061|22067|22073|22111","22","Louisiana",7,1
"224","Shreveport, LA",240,-0.128790722400077,51.02,"22015|22017|22027|22031|22069|22081|22085|22119|22127","22","Louisiana",9,1
"225","Natchez, MS-LA",174,-0.727673216761995,23.98,"22029|28001|28021|28063|28149","22|28","Louisiana|Mississippi",5,2
"226","Baton Rouge, LA",238,0.422475804502242,71.43,"22033|22037|22047|22063|22077|22091|22105|22121|22125","22","Louisiana",9,1
"227","Tallulah, LA",134,-1.12762388856745,11.22,"22035|22041|22065|22083|22107|22123","22","Louisiana",6,1
"228","Portland, ME",283,1.08699695224555,85.54,"23001|23005|23007|23011|23013|23015|23017|23023|23025|23027|23031","23","Maine",11,1
"229","Presque Isle, ME",146,-0.646808047925539,27.04,"23003","23","Maine",1,1
"230","Bangor, ME",230,0.416543816516559,71.26,"23009|23019|23021|23029","23","Maine",4,1
"231","Cumberland, MD-WV-PA",196,-0.235232039883551,46.09,"24001|24023|54023|54031|54057|54071","24|54","Maryland|West Virginia",6,2
"232","Baltimore, MD",238,2.31722629789465,96.94,"24003|24005|24013|24025|24027|24510","24","Maryland",6,1
"233","Germantown, MD",232,2.36415448285873,97.45,"24021|24031|24043|42055|42057","24|42","Maryland|Pennsylvania",5,2
"234","Boston, MA-NH",288,2.98381195695205,99.32,"25001|25009|25017|25021|25023|25025|25027","25","Massachusetts",7,1
"235","Pittsfield, MA",210,1.17491531553096,87.07,"25003|50003","25|50","Massachusetts|Vermont",2,2
"236","Providence, RI-MA",299,1.50060748943007,92.52,"25005|44001|44003|44005|44007|44009","25|44","Massachusetts|Rhode Island",6,2
"237","Vineyard Haven--Edgartown--Oak Bluffs, MA",163,1.37990477655656,90.82,"25007","25","Massachusetts",1,1
"238","Springfield, MA-CT",250,1.13364110450525,86.73,"25011|25013|25015","25","Massachusetts",3,1
"239","Nantucket, MA",146,1.71041298523968,94.05,"25019","25","Massachusetts",1,1
"240","Alpena, MI",186,-0.0567439931056885,53.74,"26001|26007|26069|26141","26","Michigan",4,1
"241","Marquette, MI",207,0.0184280463835425,56.46,"26003|26041|26103|26153","26","Michigan",4,1
"242","Grand Rapids, MI",340,0.889055448308404,82.31,"26005|26015|26067|26081|26121|26123|26127|26139","26","Michigan",8,1
"243","Traverse City--Garfield, MI",271,0.590811453945315,76.19,"26009|26019|26055|26079|26089","26","Michigan",5,1
"244","Saginaw, MI",260,0.0889887450205831,58.84,"26011|26017|26035|26051|26057|26073|26111|26117|26145","26","Michigan",9,1
"245","Houghton--Hancock, MI",141,0.116244236744498,59.69,"26013|26061|26083","26","Michigan",3,1
"246","Kalamazoo, MI",245,0.51282846596138,73.64,"26023|26025|26077|26159","26","Michigan",4,1
"247","Petoskey, MI",210,0.7834957583886,80.61,"26029|26031|26047","26","Michigan",3,1
"248","Sault Ste. Marie, MI",139,0.0707354598525714,58.5,"26033|26095|26097","26","Michigan",3,1
"249","Lansing, MI",216,0.791280121442993,80.95,"26037|26045|26065|26155","26","Michigan",4,1
"250","Houghton Lake, MI",183,-0.39334646070247,38.61,"26039|26119|26129|26135|26137|26143","26","Michigan",6,1
"251","Marinette--Menominee, WI-MI",196,-0.447710497967702,36.73,"26043|26071|26109|55037|55075","26|55","Michigan|Wisconsin",5,2
"252","Detroit, MI",305,1.30624587012648,89.63,"26049|26063|26087|26093|26099|26115|26125|26147|26151|26157|26161|26163","26","Michigan",12,1
"253","Ironwood, MI-WI",141,-0.321835449393175,41.5,"26053|26131|55051","26|55","Michigan|Wisconsin",3,2
"254","Jackson, MI",224,-0.0305802191248169,55.27,"26059|26075|26091","26","Michigan",3,1
"255","Cadillac, MI",186,-0.460032790467489,36.39,"26085|26107|26113|26133|26165","26","Michigan",5,1
"256","Ludington, MI",161,-0.0484147417724406,54.59,"26101|26105","26","Michigan",2,1
"257","Brainerd, MN",220,-0.240277912088807,45.92,"27001|27007|27021|27029|27035|27057","27","Minnesota",6,1
"258","Minneapolis, MN",321,2.03192093440315,95.75,"27003|27019|27025|27037|27053|27059|27065|27115|27123|27139|27163|55093|55109","27|55","Minnesota|Wisconsin",13,2
"259","Fargo, ND-MN",249,0.318196706342095,68.03,"27005|27027|27087|27107|27167|38017|38077","27|38","Minnesota|North Dakota",7,2
"260","St. Cloud, MN",267,-0.0364933892607458,55.1,"27009|27095|27097|27141|27145","27","Minnesota",5,1
"261","Milbank, SD",149,-1.19236210041299,9.35,"27011|27155|46037|46051|46091|46109","27|46","Minnesota|South Dakota",6,2
"262","Mankato, MN",241,0.0534305163471427,57.99,"27013|27015|27079|27103|27131|27147|27161|27165","27","Minnesota",8,1
"263","Duluth, MN-WI",219,0.153989429828462,61.73,"27017|27061|27075|27137|55031","27|55","Minnesota|Wisconsin",5,2
"264","Willmar, MN",185,-1.00276124046429,15.31,"27023|27067|27073|27081|27083|27127|27129|27151|27173","27","Minnesota",9,1
"265","Grand Marais, MN",107,0.7281915466983,79.59,"27031","27","Minnesota",1,1
"266","Worthington, MN",134,-1.30227329478571,6.8,"27033|27063|27091|27101|27105","27","Minnesota",5,1
"267","Rochester, MN",176,0.122831790021419,60.2,"27039|27045|27049|27109|27157","27","Minnesota",5,1
"268","Alexandria, MN",215,-0.607236003327746,28.91,"27041|27051|27111|27121|27149|27153|27159","27","Minnesota",7,1
"269","La Crosse, WI-MN",204,-0.0909785116358458,52.55,"27055|55057|55063|55081|55123","27|55","Minnesota|Wisconsin",5,2
"270","Grafton, ND",112,-1.38285494863314,5.1,"27069|38019|38067|38099","27|38","Minnesota|North Dakota",4,2
"271","International Falls, MN",98,-0.241055831553062,45.75,"27071","27","Minnesota",1,1
"272","Roseau, MN",103,-0.653481534963597,26.7,"27077|27135","27","Minnesota",2,1
"273","Otsego, MN",242,0.0189063981878074,56.63,"27085|27093|27143|27171","27","Minnesota",4,1
"274","Grand Forks, ND-MN",177,-0.338460130235648,40.48,"27089|27113|27119|27125|38035|38091|38097","27|38","Minnesota|North Dakota",7,2
"275","Sioux Falls, SD",238,0.339981031113777,68.71,"27117|27133|46079|46083|46087|46097|46099|46101|46125","27|46","Minnesota|South Dakota",9,2
"276","Eau Claire, WI",256,0.171256621507442,62.07,"27169|55011|55017|55033|55035|55053|55091|55121","27|55","Minnesota|Wisconsin",8,2
"277","Tupelo, MS",230,-0.212970179862625,47.28,"28003|28013|28017|28057|28081|28095|28115|28117|28139|28141|28145","28","Mississippi",11,1
"278","McComb, MS",174,-1.02806143887879,14.46,"28005|28037|28077|28085|28113|28147|28157","28","Mississippi",7,1
"279","Jackson, MS",235,0.341320678117317,68.88,"28007|28029|28049|28051|28089|28121|28163","28","Mississippi",7,1
"280","Greenville, MS",155,-0.779551784950595,21.6,"28011|28053|28055|28125|28133|28151","28","Mississippi",6,1
"281","Greenwood, MS",151,-0.829688239556717,20.41,"28015|28043|28083|28097","28","Mississippi",4,1
"282","Starkville, MS",186,-0.404786385577044,38.27,"28019|28025|28087|28103|28105|28155|28159","28","Mississippi",7,1
"283","Oxford, MS",171,-0.254706275180191,45.07,"28027|28071|28107|28119|28135|28161","28","Mississippi",6,1
"284","Hattiesburg, MS",182,-0.936108084836046,16.84,"28031|28035|28061|28065|28067|28073|28091|28111|28127|28129|28153","28","Mississippi",11,1
"285","Gulfport--Biloxi, MS",179,0.155130045763024,61.9,"28039|28041|28045|28047|28059|28131","28","Mississippi",6,1
"286","Kirksville, MO",141,-1.11834934787089,11.39,"29001|29103|29171|29197|29199|29211","29","Missouri",6,1
"287","Nebraska, NE",112,-1.5613660001877,2.38,"29005|31097|31127|31131","29|31","Missouri|Nebraska",4,2
"288","Columbia, MO",208,0.0791102785517043,58.67,"29007|29019|29027|29051|29053|29089|29135|29151","29","Missouri",8,1
"289","Springfield, MO",281,0.341679408015233,69.05,"29009|29043|29057|29059|29077|29085|29109|29167|29209|29213|29225","29","Missouri",11,1
"290","Sedalia, MO",183,-0.806500274278337,21.26,"29015|29083|29101|29159|29185|29195","29","Missouri",6,1
"291","Cape Girardeau, MO-IL",226,-0.556454709412328,31.97,"29017|29031|29133|29143|29157|29201|29207","29","Missouri",7,1
"292","Poplar Bluff, MO",163,-0.714078792592394,25,"29023|29035|29181|29223","29","Missouri",4,1
"293","Village of Four Seasons, MO",202,0.11584529395496,59.52,"29029|29131|29141","29","Missouri",3,1
"294","Chillicothe, MO",160,-0.988853015640721,15.82,"29033|29041|29115|29117","29","Missouri",4,1
"295","Nevada, MO",146,-0.925289954375746,17.52,"29039|29217","29","Missouri",2,1
"296","Trenton, MO",144,-1.14218714271679,10.88,"29061|29079|29081|29129","29","Missouri",4,1
"297","Fort Leonard Wood--St. Robert--Waynesville, MO",166,-0.492506541092901,34.69,"29065|29105|29125|29161|29169","29","Missouri",5,1
"298","West Plains, MO",180,-0.879126502242979,18.37,"29067|29091|29149|29203|29215|29229","29","Missouri",6,1
"299","Maryville, MO",126,-0.952650337741756,16.67,"29075|29147|29227","29","Missouri",3,1
"300","Farmington, MO",189,-0.564878069304007,30.44,"29093|29123|29179|29186|29187|29221","29","Missouri",6,1
"301","Moberly, MO",153,-1.03566653129833,14.29,"29121|29137|29175|29205","29","Missouri",4,1
"302","Dillon, MT",119,-0.309596980107722,43.03,"30001","30","Montana",1,1
"303","Sheridan, WY",211,0.0526719965064814,57.82,"30003|56019|56033","30|56","Montana|Wyoming",3,2
"304","Great Falls, MT",189,-0.467808607610233,35.71,"30005|30013|30015|30041|30099","30","Montana",5,1
"305","Bozeman, MT",281,1.09003345507821,85.71,"30007|30031|30043|30049|30057|30059","30","Montana",6,1
"306","Billings, MT",269,0.00649560435815128,55.78,"30009|30037|30065|30095|30107|30111","30","Montana",6,1
"307","Baker, MT",106,-0.903497423881149,18.2,"30011|30025","30","Montana",2,1
"308","Miles, MT",139,-1.01029978513242,14.97,"30017|30021|30079","30","Montana",3,1
"309","Plentywood, MT",102,-0.764397182134883,22.28,"30019|30091","30","Montana",2,1
"310","Missoula, MT",282,0.405776583621691,70.92,"30023|30039|30061|30063|30077|30081|30093","30","Montana",7,1
"311","Lewistown, MT",142,-0.875086305719731,18.54,"30027|30045","30","Montana",2,1
"312","Kalispell, MT",269,0.675197373389284,78.57,"30029|30047|30053","30","Montana",3,1
"313","Jordan, MT",57,-0.253954896973026,45.24,"30033","30","Montana",1,1
"314","Shelby, MT",107,-1.36383463737951,5.44,"30035|30073|30101","30","Montana",3,1
"315","Chester, MT",61,-0.723361734792033,24.49,"30051","30","Montana",1,1
"316","Glasgow, MT",107,-1.54153090255197,3.23,"30055|30085|30105","30","Montana",3,1
"317","Livingston, MT",185,0.347300976872353,69.22,"30067|30097","30","Montana",2,1
"318","Winnett, MT",45,0.148403570204468,61.22,"30069","30","Montana",1,1
"319","Malta, MT",100,-1.34485611586333,5.95,"30071","30","Montana",1,1
"320","Colstrip, MT",88,-0.724127887080809,24.15,"30075|30087|30103","30","Montana",3,1
"321","Williston, ND",126,-1.36365618458781,5.61,"30083|38013|38023|38053|38105","30|38","Montana|North Dakota",5,2
"322","Thompson Falls, MT",145,-0.339858220722185,40.14,"30089","30","Montana",1,1
"323","Dickinson, ND",160,-0.92811797383566,17.01,"30109|38007|38025|38033|38041|38089","30|38","Montana|North Dakota",6,2
"324","Hastings, NE",153,-1.26478281106355,7.82,"31001|31035|31129|31169|31181","31","Nebraska",5,1
"325","Norfolk, NE",157,-0.765286439732523,22.11,"31003|31051|31119|31139|31167|31179","31","Nebraska",6,1
"326","North Platte, NE",156,-0.773618780180165,21.77,"31005|31101|31111|31113|31117|31135","31","Nebraska",6,1
"327","Cheyenne, WY",201,-0.493200054647734,34.52,"31007|31105|31123|31157|31165|56021","31|56","Nebraska|Wyoming",6,2
"328","Broken Bow, NE",100,-1.33678180239535,6.46,"31009|31041|31091|31171","31","Nebraska",4,1
"329","Columbus, NE",138,-1.10752064413534,11.73,"31011|31023|31037|31125|31141","31","Nebraska",5,1
"330","Alliance, NE",98,-1.54436072304672,3.06,"31013|31045|31161|46007|46102","31|46","Nebraska|South Dakota",5,2
"331","O'Neill, NE",108,-1.55168764146958,2.72,"31015|31017|31089|31103|31149","31","Nebraska",5,1
"332","Kearney, NE",159,-0.842193041751984,19.9,"31019|31047|31061|31063|31065|31073|31083|31099|31137|31163","31","Nebraska",10,1
"333","Yankton, SD",148,-1.09874767175695,11.9,"31027|31107|46009|46027|46135","31|46","Nebraska|South Dakota",5,2
"334","McCook, NE",110,-1.66854024069986,1.7,"31029|31057|31085|31087|31145","31","Nebraska",5,1
"335","Valentine, NE",78,-1.34327577284991,6.29,"31031|46075|46095|46121","31|46","Nebraska|South Dakota",4,2
"336","Grand Island, NE",174,-0.819410394049663,20.92,"31059|31079|31081|31093|31121|31143|31185","31","Nebraska",7,1
"337","Lincoln, NE",234,0.58304084113607,75.68,"31067|31095|31109|31151|31155|31159","31","Nebraska",6,1
"338","Ord, NE",96,-1.35772096846899,5.78,"31071|31077|31115|31175|31183","31","Nebraska",5,1
"339","Hyannis, NE",47,-0.993875540620087,15.65,"31075","31","Nebraska",1,1
"340","Las Vegas--Henderson--Paradise, NV",234,2.1359497546282,96.09,"32003|32009|32023","32","Nevada",3,1
"341","Elko, NV",136,-1.0843030167576,12.76,"32007|32011|32013|32015|32027|32033","32","Nevada",6,1
"342","St. George, UT",271,0.849492651912289,81.63,"32017|49001|49021|49053","32|49","Nevada|Utah",4,2
"343","Nashua, NH-MA",335,1.71352595179198,94.22,"33001|33003|33011|33013|33015|33017","33","New Hampshire",6,1
"344","Keene, NH",228,0.66803387270879,78.23,"33005|50025","33|50","New Hampshire|Vermont",2,2
"345","Lebanon, NH-VT",250,0.772365034336753,80.27,"33007|33009|33019|50005|50009|50017|50019|50023|50027","33|50","New Hampshire|Vermont",9,2
"346","Trenton, NJ",259,1.78831707493681,94.73,"34001|34005|34007|34009|34011|34015|34021|34033","34","New Jersey",8,1
"347","Newark, NJ",356,2.57905127024973,97.96,"34003|34013|34017|34019|34023|34027|34031|34035|34037|34039|34041","34","New Jersey",11,1
"348","Toms River, NJ",264,1.66086381840021,93.88,"34025|34029","34","New Jersey",2,1
"349","Albuquerque, NM",225,1.25895783176742,87.93,"35001|35028|35039|35043|35049|35053|35057|35061","35","New Mexico",8,1
"350","Roswell, NM",159,-1.06897573593795,13.44,"35005|35015","35","New Mexico",2,1
"351","Las Vegas, NM",124,-0.709598160953041,25.17,"35007|35019|35021|35033|35037|35047","35","New Mexico",6,1
"352","Clovis, NM",115,-1.51671678970939,3.4,"35009|35011|35041|48017|48069|48117|48279|48369","35|48","New Mexico|Texas",8,2
"353","El Paso, TX-NM",211,0.4462346171799,72.45,"35013|35051|48109|48141|48229","35|48","New Mexico|Texas",5,2
"354","Hobbs, NM",116,-1.14911138994354,10.37,"35025|48301|48495","35|48","New Mexico|Texas",3,2
"355","Alamogordo, NM",141,-0.0851675610588845,52.72,"35027|35035","35","New Mexico",2,1
"356","Taos, NM",169,0.69022278815682,78.74,"35055","35","New Mexico",1,1
"357","Dumas, TX",92,-2.02424637257975,0.34,"35059|48111|48205|48341|48421","35|48","New Mexico|Texas",5,2
"358","Albany--Schenectady, NY",258,1.00890252640281,84.01,"36001|36021|36035|36039|36041|36057|36083|36091|36093|36095|36113|36115","36","New York",12,1
"359","Buffalo, NY",302,1.09754451146797,86.05,"36003|36009|36029|36037|36063|36121","36","New York",6,1
"360","New York, NY",233,3.45917195452237,99.83,"36005|36047|36059|36061|36081|36085|36103","36","New York",7,1
"361","Binghamton, NY",220,0.731870785985945,79.76,"36007|36017|36025|36077|36107","36","New York",5,1
"362","Syracuse, NY",278,1.12235109702264,86.56,"36011|36043|36053|36065|36067|36075","36","New York",6,1
"363","Erie, PA",312,0.119380579210703,59.86,"36013|42031|42033|42039|42049|42053|42065|42121|42123","36|42","New York|Pennsylvania",9,2
"364","Elmira, NY",204,0.510571340483698,73.47,"36015|36023|36097|36101|36109","36","New York",5,1
"365","Plattsburgh, NY",183,-0.0395157953746791,54.93,"36019|36031|36033|36089","36","New York",4,1
"366","Yonkers, NY",282,2.01265586039756,95.58,"36027|36071|36079|36087|36105|36111|36119","36","New York",7,1
"367","Watertown, NY",144,-0.312511165642069,42.18,"36045|36049","36","New York",2,1
"368","Rochester, NY",252,1.38744956997946,90.99,"36051|36055|36069|36073|36099|36117|36123","36","New York",7,1
"369","Burlington, NC",230,0.438510556921043,71.6,"37001|37033|51143|51590","37|51","North Carolina|Virginia",4,2
"370","Hickory, NC",237,0.583344353174835,75.85,"37003|37023|37027|37035|37111","37","North Carolina",5,1
"371","Marion, VA",182,-0.273143554214871,44.56,"37005|51021|51035|51077|51173|51197|51640","37|51","North Carolina|Virginia",7,2
"372","Charlotte, NC-SC",356,1.64321998811377,93.2,"37007|37025|37045|37071|37097|37109|37119|37159|37167|37179|45023|45057|45091","37|45","North Carolina|South Carolina",13,2
"373","Boone, NC",179,0.269527205802734,66.16,"37009|37011|37189|47091","37|47","North Carolina|Tennessee",4,2
"374","Washington, NC",192,-0.371981445640074,39.12,"37013|37095|37117|37177|37187","37","North Carolina",5,1
"375","Roanoke Rapids, NC",171,-0.576649514783908,30.1,"37015|37083|37091|37131|51025|51081|51117|51595","37|51","North Carolina|Virginia",8,2
"376","Fayetteville, NC",207,0.141698515020242,60.71,"37017|37051|37085|37093|37105|37123|37125|37153|37155|37165","37","North Carolina",10,1
"377","Wilmington, NC",269,0.998169147072818,83.67,"37019|37047|37129|37141","37","North Carolina",4,1
"378","Asheville, NC",298,1.1646637649881,86.9,"37021|37089|37115|37121|37175|37199","37","North Carolina",6,1
"379","Virginia Beach, VA",222,1.29925030379548,89.46,"37029|37041|37053|37055|37073|37139|37143|51093|51175|51181|51550|51620|51710|51740|51800|51810","37|51","North Carolina|Virginia",16,2
"380","Jacksonville, NC",135,0.596372379786099,76.87,"37031|37049|37103|37133|37137","37","North Carolina",5,1
"381","Raleigh, NC",248,2.33500038737151,97.11,"37037|37063|37069|37077|37101|37135|37145|37181|37183|37185","37","North Carolina",10,1
"382","Winston-Salem, NC",321,0.969604303024521,83.33,"37057|37059|37067|37081|37151|37157|37169|37171|37193|37197","37","North Carolina",10,1
"383","Greenville, NC",196,-0.119146189427648,51.36,"37061|37079|37107|37147|37163|37191","37","North Carolina",6,1
"384","Rocky Mount, NC",213,0.0135475700151268,56.12,"37065|37127|37195","37","North Carolina",3,1
"385","Spartanburg, SC",274,0.550056126208557,74.15,"37149|37161|45021|45083|45087","37|45","North Carolina|South Carolina",5,2
"386","Bowman, ND",108,-1.58639224662738,2.21,"38001|38011|38087|46105","38|46","North Dakota|South Dakota",4,2
"387","Valley, ND",108,-0.869172796251448,19.05,"38003|38039","38","North Dakota",2,1
"388","Devils Lake, ND",104,-1.23557051275601,8.33,"38005|38063|38071","38","North Dakota",3,1
"389","Minot, ND",165,-0.721571586311991,24.83,"38009|38049|38061|38075|38101","38","North Dakota",5,1
"390","Bismarck, ND",214,-0.3507797261272,39.63,"38015|38037|38043|38055|38057|38059|38065","38","North Dakota",7,1
"391","Lisbon, ND",93,-1.5087214889479,3.74,"38021|38045|38073|38081","38","North Dakota",4,1
"392","Carrington, ND",91,-1.77929912285495,1.02,"38027|38031|38083|38103","38","North Dakota",4,1
"393","Jamestown, ND",124,-1.3767581885721,5.27,"38029|38047|38051|38093","38","North Dakota",4,1
"394","Rugby, ND",81,-1.15719352573055,9.69,"38069|38079|38095","38","North Dakota",3,1
"395","Mobridge, SD",100,-1.08924974166298,12.24,"38085|46021|46031|46129","38|46","North Dakota|South Dakota",4,2
"396","Lima, OH",244,-0.275912306439398,44.39,"39003|39011|39107|39137|39161","39","Ohio",5,1
"397","Mansfield, OH",246,0.0169515969666074,56.29,"39005|39033|39101|39117|39139","39","Ohio",5,1
"398","Cleveland, OH",351,1.35462300515289,90.14,"39007|39035|39055|39085|39093|39103|39133|39153","39","Ohio",8,1
"399","Athens, OH",149,-0.321866403407086,41.33,"39009|39053|39105|54053","39|54","Ohio|West Virginia",4,2
"400","Steubenville--Weirton, OH-WV-PA",230,-0.199960255954837,47.45,"39013|39067|39081|39111|54009|54029|54051|54069|54095|54103","39|54","Ohio|West Virginia",10,2
"401","Canton, OH",360,0.0967861527918187,59.01,"39019|39031|39075|39151|39157|39169","39","Ohio",6,1
"402","Dayton, OH",282,0.590982105108819,76.36,"39021|39023|39037|39057|39109|39113|39135|39149","39","Ohio",8,1
"403","Washington Court House, OH",171,-0.125787416228983,51.19,"39027|39047|39071","39","Ohio",3,1
"404","Youngstown, OH",304,0.216934330671143,63.78,"39029|39099|39155|42073|42085","39|42","Ohio|Pennsylvania",5,2
"405","Toledo, OH-MI",282,0.358357023248851,69.9,"39039|39051|39069|39095|39125|39171|39173","39","Ohio",7,1
"406","Columbus, OH",257,1.65145875462892,93.54,"39041|39045|39049|39073|39083|39089|39097|39127|39129|39159","39","Ohio",10,1
"407","Sandusky--Port Clinton, OH",230,0.13129375563405,60.54,"39043|39077|39123|39143","39","Ohio",4,1
"408","Parkersburg, WV-OH",237,-0.515955450167785,33.84,"39059|39115|39119|39121|39167|54073|54085|54105|54107","39|54","Ohio|West Virginia",9,2
"409","Findlay, OH",218,-0.185911479196829,47.62,"39063|39065|39091|39147|39175","39","Ohio",5,1
"410","Portsmouth, OH-KY",165,-0.446562247133589,36.9,"39079|39131|39141|39145|39163","39","Ohio",5,1
"411","Muskogee, OK",152,-0.772080516339952,21.94,"40001|40021|40091|40101","40","Oklahoma",4,1
"412","Enid, OK",176,-0.689029929743804,25.68,"40003|40047|40053|40093|40151","40","Oklahoma",5,1
"413","Ardmore, OK",185,-0.903854752483394,18.03,"40005|40013|40019|40029|40049|40069|40095|40099|40123","40","Oklahoma",9,1
"414","Weatherford, OK",146,-1.22789741281303,8.67,"40009|40039|40129|40149","40","Oklahoma",4,1
"415","Oklahoma, OK",265,0.445513116092288,72.28,"40011|40015|40017|40027|40051|40063|40073|40081|40083|40087|40109|40125|40133","40","Oklahoma",13,1
"416","Wichita Falls, TX",178,-0.561650779415689,31.12,"40031|40033|40067|40137|40141|48009|48077|48485","40|48","Oklahoma|Texas",8,2
"417","Miami, OK",185,-0.552172900489782,32.31,"40035|40041|40097|40115","40","Oklahoma",4,1
"418","Tulsa, OK",301,0.915648665033874,82.48,"40037|40107|40111|40113|40117|40131|40143|40145","40","Oklahoma",8,1
"419","Woodward, OK",135,-1.6243185369934,1.87,"40043|40045|40059|40153","40","Oklahoma",4,1
"420","Altus, OK",102,-1.34375972876199,6.12,"40055|40057|40065|40075","40","Oklahoma",4,1
"421","McAlester, OK",162,-1.04869155335805,13.95,"40061|40077|40079|40121","40","Oklahoma",4,1
"422","Stillwater, OK",171,-0.559776054678776,31.8,"40071|40103|40119","40","Oklahoma",3,1
"423","Dallas, TX",361,2.18479336849886,96.6,"40085|48085|48097|48113|48121|48139|48147|48181|48257|48337|48349|48397","40|48","Oklahoma|Texas",12,2
"424","Guymon, OK",103,-1.86759543608654,0.51,"40139|48195|48295|48357","40|48","Oklahoma|Texas",4,2
"425","La Grande, OR",163,-0.518401213541671,33.5,"41001|41061","41","Oregon",2,1
"426","Eugene, OR",282,0.705748799327132,78.91,"41003|41039|41043","41","Oregon",3,1
"427","Portland, OR-WA",348,1.64373443828626,93.37,"41005|41009|41047|41051|41053|41067|41071|53011|53015|53059|53069","41|53","Oregon|Washington",11,2
"428","Aberdeen, WA",179,0.190058664731494,62.93,"41007|53027|53049","41|53","Oregon|Washington",3,2
"429","Roseburg, OR",197,-0.184578756305548,47.79,"41011|41019","41","Oregon",2,1
"430","Bend, OR",281,1.09072657394195,85.88,"41013|41017|41031","41","Oregon",3,1
"431","Condon, OR",95,-0.291014720696828,44.05,"41021|41069","41","Oregon",2,1
"432","John Day, OR",95,-0.408160634529299,38.1,"41023","41","Oregon",1,1
"433","Burns, OR",95,-0.734309723404604,23.47,"41025","41","Oregon",1,1
"434","The Dalles, OR",181,0.0358557515964587,57.14,"41027|41055|41065|53039","41|53","Oregon|Washington",4,2
"435","Medford, OR",261,0.444965443322172,72.11,"41029|41033","41","Oregon",2,1
"436","Lakeview, OR",85,-1.45392923614372,4.25,"41037","41","Oregon",1,1
"437","Newport, OR",147,0.392328664316777,70.58,"41041|41057","41","Oregon",2,1
"438","Kennewick--Richland--Pasco, WA",184,-0.133871186586935,50.85,"41049|41059|53005|53013|53021|53071","41|53","Oregon|Washington",6,2
"439","Enterprise, OR",142,0.309166263678274,67.86,"41063","41","Oregon",1,1
"440","Harrisburg, PA",343,0.708026150578974,79.08,"42001|42041|42043|42071|42075|42099|42133","42","Pennsylvania",7,1
"441","Pittsburgh, PA",312,1.06943174403198,85.03,"42003|42005|42007|42019|42051|42059|42125|42129","42","Pennsylvania",8,1
"442","Altoona, PA",279,-0.162578108865072,48.64,"42009|42013|42021|42063|42111","42","Pennsylvania",5,1
"443","Allentown--Bethlehem, PA-NJ",290,0.969198103562574,83.16,"42011|42025|42077|42095|42107","42","Pennsylvania",5,1
"444","Williamsport, PA",271,-0.116073069031928,51.7,"42015|42035|42037|42081|42093|42097|42109|42113|42119","42","Pennsylvania",9,1
"445","Bradford, PA-NY",195,-0.543348084997942,32.82,"42023|42047|42083|42105|42117","42","Pennsylvania",5,1
"446","State College, PA",187,-0.0628797230076952,53.57,"42027|42061|42067|42087","42","Pennsylvania",4,1
"447","Scranton, PA",268,0.489960083681724,72.96,"42069|42079|42089|42103|42115|42127|42131","42","Pennsylvania",7,1
"448","Greenville, SC",303,0.946016793308337,82.82,"45001|45007|45045|45047|45059|45065|45073|45077","45","South Carolina",8,1
"449","Hilton Head Island, SC",230,0.857163729601591,81.8,"45003|45005|45011|45013|45037|45049|45053","45","South Carolina",7,1
"450","Columbia, SC",292,0.843944214683909,81.46,"45009|45017|45027|45039|45055|45061|45063|45071|45075|45079|45081|45085","45","South Carolina",12,1
"451","Charleston, SC",302,1.41993984116569,91.5,"45015|45019|45029|45035","45","South Carolina",4,1
"452","Myrtle Beach--North Myrtle Beach, SC-NC",288,0.639736092947077,77.21,"45025|45031|45033|45041|45043|45051|45067|45069|45089","45","South Carolina",9,1
