"industry_code","industry_ubiquity","industry_complexity","industry_complexity_percentile"
"331524",92,-0.140100849577816,49.63
"331529",72,-0.346592939551095,39.6
"332111",94,-0.731054483091517,23.34
"332112",33,0.292332694629451,68.43
"332114",60,0.0705011015324756,58.5
"332117",44,0.291839683916806,68.32
"332119",152,-0.897948625692801,17.11
"332215",81,-0.124371175638511,50.9
"332216",132,-0.370328296105452,38.65
"332311",212,-1.22166844057097,8.66
"332312",301,-1.23641332960372,7.71
"332313",245,-1.15559646031304,10.56
"332321",148,-0.707657319210278,24.71
"332322",262,-0.979341632113529,15.31
"332323",220,-0.166882919716078,48.57
"332410",88,-0.22773909409432,46.04
"332420",193,-1.06105662403195,12.67
"332431",88,-0.234298359185537,45.41
"332439",93,-0.544472030698538,31.57
"332510",106,-0.360698658829859,38.97
"332613",78,0.0781083077491077,58.82
"332618",141,-0.622551178086089,27.77
"332710",387,-1.33634660011043,6.23
"332721",144,-0.451819258062085,35.06
"332722",92,-0.103870135868924,51.85
"332811",98,-0.260211046822309,44.03
"332812",213,-0.83475300071399,19.54
"332813",159,-0.578771792780739,29.99
"332911",94,-0.40788458426962,36.96
"332912",95,-0.139453468536436,49.84
"332913",54,0.335412730258999,69.9
"332919",76,-0.200081612463374,46.78
"332991",68,0.0333498378784736,57.23
"332992",52,-0.559078653664945,30.94
"332993",21,-0.871215605770242,18.16
"332994",105,0.391179873306302,71.28
"332996",126,-1.09877035581472,11.51
"332999",252,-1.01263936365016,14.26
"333111",189,-1.97655990008999,0.53
"333112",61,-0.938967026023506,16.26
"333120",143,-1.2821788786874,7.07
"333131",79,-0.823159362665864,19.75
"333132",86,-1.59301491993899,3.17
"333241",126,-0.138424428389924,50.05
"333242",25,2.73915072849794,98.63
"333243",116,-0.65467329594651,26.82
"333248",215,-0.422576249272621,36.22
"333310",175,-0.0261735840067875,54.59
"333413",107,-0.184234220573721,47.62
"333414",97,0.256151460367912,66.74
"333415",128,-0.779169029412675,21.22
"333511",141,-0.748631091576798,22.81
"333514",188,-1.27200388022871,7.18
"333515",130,-0.187219134223319,47.31
"333517",163,-0.779562121838428,21.12
"333519",71,-0.232967983204467,45.62
"333611",55,-0.237099275161128,45.3
"333612",58,0.146191881153389,62.09
"333613",81,0.214591572216938,64.73
"333618",53,-1.03443521784114,13.83
"333912",84,-0.405104906313215,37.17
"333914",128,-0.652147905953577,26.93
"333921",51,0.39146827206387,71.38
"333922",142,-0.889748024970215,17.42
"333923",86,-0.0667185595873631,52.8
"333924",93,-0.610530731721884,28.51
"333991",49,-0.0224979970535639,54.91
"333992",100,-0.14001886759007,49.74
"333993",90,0.0841432350438627,59.35
"333994",68,0.343468146536509,70.22
"333995",94,-0.613239637941271,28.3
"333996",68,-0.0159420624818538,55.12
