"industry_code","industry_description","industry_employment_share_nation"
"311615","Poultry Processing",0.00142513543880617
"311710","Seafood Product Preparation and Packaging",0.000187128045650776
"311811","Retail Bakeries",0.000737544130633996
"311812","Commercial Bakeries",0.000892008950389321
"311813","Frozen Cakes, Pies, and Other Pastries Manufacturing",8.12737240054013e-05
"311821","Cookie and Cracker Manufacturing",0.000225344134677031
"311824","Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",0.000127767479868175
"311830","Tortilla Manufacturing",0.000125719574767248
"311911","Roasted Nuts and Peanut Butter Manufacturing",9.64408418957374e-05
"311919","Other Snack Food Manufacturing",0.000285708575509106
"311920","Coffee and Tea Manufacturing",0.000168048683281919
"311930","Flavoring Syrup and Concentrate Manufacturing",5.8006768573025e-05
"311941","Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",0.000123212755357991
"311942","Spice and Extract Manufacturing",0.000168823101177228
"311991","Perishable Prepared Food Manufacturing",0.000403477459884522
"311999","All Other Miscellaneous Food Manufacturing",0.000252672481738136
"312111","Soft Drink Manufacturing",0.000473519256193525
"312112","Bottled Water Manufacturing",0.000126746395532139
"312113","Ice Manufacturing",4.60061594101721e-05
"312120","Breweries",0.000640816467295552
"312130","Wineries",0.000460841748425884
"312140","Distilleries",0.000158617994245719
"312230","Tobacco Manufacturing",6.20853694883158e-05
"313110","Fiber, Yarn, and Thread Mills",0.000122639112472577
"313210","Broadwoven Fabric Mills",0.000114143461339602
"313220","Narrow Fabric Mills and Schiffli Machine Embroidery",3.22043115871205e-05
"313230","Nonwoven Fabric Mills",8.97062744209815e-05
"313240","Knit Fabric Mills",2.56418369779887e-05
"313310","Textile and Fabric Finishing Mills",0.000100186729937488
"313320","Fabric Coating Mills",3.67590360973046e-05
"314110","Carpet and Rug Mills",0.000153495363278976
"314120","Curtain and Linen Mills",8.75608500295346e-05
"314910","Textile Bag and Canvas Mills",0.000141425916969873
"314994","Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",2.96802828913006e-05
"314999","All Other Miscellaneous Textile Product Mills",0.000190621530822945
"315120","Apparel Knitting Mills",3.75449268503213e-05
"315210","Cut and Sew Apparel Contractors",0.000156432414852293
"315250","Cut and Sew Apparel Manufacturing (except Contractors)",0.000278090597990813
"315990","Apparel Accessories and Other Apparel Manufacturing",8.37690705569506e-05
"316110","Leather and Hide Tanning and Finishing",2.2957188274253e-05
"316210","Footwear Manufacturing",7.42351258013762e-05
"316990","Other Leather and Allied Product Manufacturing",7.6076519463554e-05
"321113","Sawmills",0.000469985616019377
"321114","Wood Preservation",6.63590089846473e-05
"321211","Hardwood Veneer and Plywood Manufacturing",7.49177608350184e-05
"321212","Softwood Veneer and Plywood Manufacturing",8.52261234859012e-05
"321215","Engineered Wood Member Manufacturing",0.000229204751295865
"321219","Reconstituted Wood Product Manufacturing",8.214566119123e-05
"321911","Wood Window and Door Manufacturing",0.000331232874895531
"321912","Cut Stock, Resawing Lumber, and Planing",7.64551237679269e-05
"321918","Other Millwork (including Flooring)",0.000210762132529817
"321920","Wood Container and Pallet Manufacturing",0.000399381649682669
"321991","Manufactured Home (Mobile Home) Manufacturing",0.000178729913808321
"321992","Prefabricated Wood Building Manufacturing",0.000109043776088275
"321999","All Other Miscellaneous Wood Product Manufacturing",0.000203115472867254
"322110","Pulp Mills",2.62384255788189e-05
"322120","Paper Mills",0.000289534773554815
"322130","Paperboard Mills",0.000188808819305038
"322211","Corrugated and Solid Fiber Box Manufacturing",0.000608095877111559
"322212","Folding Paperboard Box Manufacturing",0.000166448219631615
"322219","Other Paperboard Container Manufacturing",0.000150185443830139
"322220","Paper Bag and Coated and Treated Paper Manufacturing",0.000313386844730313
"322230","Stationery Product Manufacturing",7.5950318028763e-05
"322291","Sanitary Paper Product Manufacturing",0.000165128840995164
"322299","All Other Converted Paper Product Manufacturing",0.000102819750781537
"323111","Commercial Printing (except Screen and Books)",0.00151734279620756
"323113","Commercial Screen Printing",0.000460858957712446
"323117","Books Printing",7.55545044378276e-05
"323120","Support Activities for Printing",9.54771218482425e-05
"324110","Petroleum Refineries",0.000371921364757919
"324121","Asphalt Paving Mixture and Block Manufacturing",0.000102722231491016
"324122","Asphalt Shingle and Coating Materials Manufacturing",7.89045788886431e-05
"324191","Petroleum Lubricating Oil and Grease Manufacturing",6.38349802888274e-05
"324199","All Other Petroleum and Coal Products Manufacturing",2.66916034582956e-05
"325110","Petrochemical Manufacturing",0.000151223737452738
"325120","Industrial Gas Manufacturing",0.000126786550534118
"325130","Synthetic Dye and Pigment Manufacturing",5.58269256084533e-05
"325180","Other Basic Inorganic Chemical Manufacturing",0.000239415594656227
"325193","Ethyl Alcohol Manufacturing",6.14256801700902e-05
"325194","Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",1.85573473431305e-05
"325199","All Other Basic Organic Chemical Manufacturing",0.000242111716217671
"325211","Plastics Material and Resin Manufacturing",0.000357287734751018
"325212","Synthetic Rubber Manufacturing",5.46566941222095e-05
"325220","Artificial and Synthetic Fibers and Filaments Manufacturing",0.000139372275440093
"325311","Nitrogenous Fertilizer Manufacturing",5.17483246931624e-05
"325312","Phosphatic Fertilizer Manufacturing",3.36785738026335e-05
"325314","Fertilizer (Mixing Only) Manufacturing",4.33501928507071e-05
