industry_code,industry_description,industry_employment_share_nation
311613,Rendering and Meat Byproduct Processing,4.806553736880701e-5
311615,Poultry Processing,0.0014251354388061749
311710,Seafood Product Preparation and Packaging,1.8712804565077616e-4
311811,Retail Bakeries,7.375441306339963e-4
311812,Commercial Bakeries,8.920089503893211e-4
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",8.127372400540133e-5
311821,Cookie and Cracker Manufacturing,2.2534413467703137e-4
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",1.2776747986817502e-4
311830,Tortilla Manufacturing,1.257195747672484e-4
311911,Roasted Nuts and Peanut Butter Manufacturing,9.644084189573737e-5
311919,Other Snack Food Manufacturing,2.857085755091063e-4
311920,Coffee and Tea Manufacturing,1.6804868328191926e-4
311930,Flavoring Syrup and Concentrate Manufacturing,5.8006768573025006e-5
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",1.232127553579909e-4
311942,Spice and Extract Manufacturing,1.6882310117722764e-4
311991,Perishable Prepared Food Manufacturing,4.03477459884522e-4
311999,All Other Miscellaneous Food Manufacturing,2.526724817381361e-4
312111,Soft Drink Manufacturing,4.735192561935247e-4
312112,Bottled Water Manufacturing,1.267463955321388e-4
312113,Ice Manufacturing,4.600615941017213e-5
312120,Breweries,6.408164672955521e-4
312130,Wineries,4.6084174842588374e-4
312140,Distilleries,1.5861799424571937e-4
312230,Tobacco Manufacturing,6.208536948831582e-5
313110,"Fiber, Yarn, and Thread Mills",1.226391124725773e-4
313210,Broadwoven Fabric Mills,1.1414346133960162e-4
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,3.220431158712049e-5
313230,Nonwoven Fabric Mills,8.97062744209815e-5
313240,Knit Fabric Mills,2.5641836977988704e-5
313310,Textile and Fabric Finishing Mills,1.001867299374883e-4
313320,Fabric Coating Mills,3.675903609730461e-5
314110,Carpet and Rug Mills,1.5349536327897577e-4
314120,Curtain and Linen Mills,8.756085002953458e-5
314910,Textile Bag and Canvas Mills,1.4142591696987325e-4
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",2.968028289130057e-5
314999,All Other Miscellaneous Textile Product Mills,1.906215308229451e-4
315120,Apparel Knitting Mills,3.754492685032127e-5
315210,Cut and Sew Apparel Contractors,1.564324148522935e-4
315250,Cut and Sew Apparel Manufacturing (except Contractors),2.780905979908135e-4
315990,Apparel Accessories and Other Apparel Manufacturing,8.376907055695057e-5
316110,Leather and Hide Tanning and Finishing,2.2957188274252973e-5
316210,Footwear Manufacturing,7.423512580137624e-5
316990,Other Leather and Allied Product Manufacturing,7.607651946355395e-5
