csa_geoid,csa_name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score,strategic_index,strategic_index_percentile
294,"Indianapolis-Carmel-Muncie, IN CSA",316,-0.49251704593635565,37.57,22.794139560104473,94.48
320,"Lafayette-West Lafayette-Frankfort, IN CSA",204,-1.1026659592415764,7.73,5.820459048216416,70.17
350,"Louisville/Jefferson County--Elizabethtown, KY-IN CSA",311,-0.24061675373232116,51.93,16.999879947492833,91.16
178,"Cincinnati-Wilmington, OH-KY-IN CSA",335,-0.43382739339597065,39.78,28.227240651504637,97.24
515,"South Bend-Elkhart-Mishawaka, IN-MI CSA",293,-1.3045256450555858,3.31,32.751560249409756,98.9
458,"Richmond-Connersville, IN CSA",170,-1.4566261950975046,1.1,0.38544737375790294,46.41
144,"Bloomington-Bedford, IN CSA",164,-0.019237988561674566,59.12,-3.6218902478174537,24.31
241,"Evansville-Henderson, IN-KY CSA",258,-0.917343881113066,12.71,14.277022884637777,87.29
168,"Cedar Rapids-Iowa City, IA CSA",204,-0.5924988134506896,31.49,2.9434617222300226,60.77
218,"Des Moines-West Des Moines-Ames, IA CSA",253,-0.03758241262039961,56.91,5.103290437714781,65.19
517,"Spencer-Spirit Lake, IA CSA",175,-0.5369705009316711,32.6,-1.5995265860361036,34.81
420,"Omaha-Fremont, NE-IA CSA",269,0.4464509360908711,77.35,-0.34408015163298167,42.54
512,"Sioux City-Le Mars, IA-NE-SD CSA",195,-1.0996096293697089,8.84,3.736908625695074,62.43
312,"Kansas City-Overland Park-Kansas City, MO-KS CSA",326,0.25063351916199866,69.61,8.400681044230046,76.24
556,"Wichita-Arkansas City-Winfield, KS CSA",254,-0.35213748036342396,43.65,7.357242802549145,74.03
309,"Joplin-Miami, MO-OK-KS CSA",242,-1.0996933256568446,8.29,12.836404710658142,85.08
150,"Bowling Green-Glasgow-Franklin, KY CSA",242,-0.9552180311952919,12.15,11.389290236156766,80.66
336,"Lexington-Fayette--Richmond--Frankfort, KY CSA",239,-0.38000492401177044,41.99,5.910143755870672,70.72
371,"Middlesborough-Corbin, KY CSA",181,-0.7648727263824789,23.2,0.031948541043652724,44.75
170,"Charleston-Huntington-Ashland, WV-OH-KY CSA",231,-0.6045232950645006,30.94,6.729791763950989,72.93
318,"Lafayette-New Iberia-Opelousas, LA CSA",270,-0.026183718718986136,58.01,4.781142335459334,64.64
132,"Baton Rouge-Hammond, LA CSA",249,0.10883193172836272,64.64,1.724672383017142,53.59
324,"Lake Charles-DeRidder, LA CSA",217,-0.14096314542869443,54.14,1.5192381611495256,52.49
508,"Shreveport-Bossier City-Minden, LA CSA",247,-0.2738334828603904,49.17,5.504728119058975,69.06
406,"New Orleans-Metairie-Slidell, LA-MS CSA",298,1.3618642942550063,89.5,-14.427264623619134,9.94
384,"Monroe-Ruston, LA CSA",232,-0.45280996915280997,38.67,5.345669548537287,67.4
438,"Portland-Lewiston-South Portland, ME CSA",280,0.7739320529700188,81.77,-5.795800004765933,17.68
480,"Salisbury-Ocean Pines, MD CSA",216,0.5486388143123648,78.45,-4.897497547994738,19.89
148,"Boston-Worcester-Providence, MA-RI-NH CSA",330,1.7991629058394845,93.92,-26.759458508860483,5.52
521,"Springfield-Amherst Town-Northampton, MA CSA",250,-0.026072503180553604,58.56,4.541033551685461,63.54
266,"Grand Rapids-Wyoming, MI CSA",334,-0.6609091862690105,27.62,32.43195274834512,98.34
474,"Saginaw-Midland-Bay City, MI CSA",240,-0.36581410851111806,42.54,5.191662841884262,65.75
310,"Kalamazoo-Battle Creek-Portage, MI CSA",242,-0.7163979637150057,24.86,10.532034383834867,79.01
330,"Lansing-East Lansing-Owosso, MI CSA",216,-0.11209977082702204,54.7,1.1466600033925765,50.28
361,"Marinette-Iron Mountain, WI-MI CSA",192,-0.9679087738448098,11.05,1.9841506794192647,55.8
220,"Detroit-Warren-Ann Arbor, MI CSA",301,0.046584256660987707,63.54,10.676408914964172,79.56
394,"Mount Pleasant-Alma, MI CSA",164,-0.9040205172630708,14.92,-1.357026045249734,37.02
378,"Minneapolis-St. Paul, MN-WI CSA",348,0.28916183913778815,71.82,11.211640836787488,80.11
359,"Mankato-New Ulm, MN CSA",206,-0.6796705952067711,27.07,3.2149770611780166,61.33
228,"Duluth-Grand Rapids, MN-WI CSA",216,-0.2678521931267464,49.72,0.5563893989910126,48.07
244,"Fargo-Wahpeton, ND-MN CSA",235,0.031455206798551655,62.98,1.4261891377444256,51.93
462,"Rochester-Austin-Winona, MN CSA",173,-0.9152573282371627,13.81,0.3483319422979122,45.86
317,"La Crosse-Onalaska-Sparta, WI-MN CSA",188,-0.6959392727105522,26.52,0.875412263660918,48.62
539,"Tupelo-Corinth, MS CSA",203,-1.1786704745089025,6.63,5.474816539771733,68.51
298,"Jackson-Vicksburg-Brookhaven, MS CSA",236,-0.5005976618075294,37.02,6.20591820684281,71.27
279,"Hattiesburg-Laurel, MS CSA",171,-0.9673092741783179,11.6,-0.7782978370776977,39.23
523,"Starkville-Columbus, MS CSA",171,-0.658349243358907,28.18,-1.5755824780950822,35.36
190,"Columbia-Jefferson City-Moberly, MO CSA",213,-0.8109857404238953,20.44,5.27804890338712,66.3
339,"Lincoln-Beatrice, NE CSA",229,-0.018022311653075593,59.67,1.8797994147475674,54.14
332,"Las Vegas-Henderson, NV CSA",234,2.455228793364006,97.24,-20.812184302476087,6.63
313,"Keene-Brattleboro, NH-VT CSA",228,0.018096341389169275,62.43,0.5547684608115294,47.51
106,"Allentown-Bethlehem-East Stroudsburg, PA-NJ CSA",283,-0.2971576156940629,46.96,12.505094615406763,83.98
105,"Albuquerque-Santa Fe-Los Alamos, NM CSA",227,1.460460646500026,90.06,-11.741163666053207,12.15
238,"El Paso-Las Cruces, TX-NM CSA",213,0.30374472016766607,72.38,-2.557289530158983,30.94
104,"Albany-Schenectady, NY CSA",248,0.2374373522753039,67.96,0.3960936349919582,46.96
160,"Buffalo-Cheektowaga-Olean, NY CSA",297,-0.14503717129863444,53.59,12.3569686228921,83.43
532,"Syracuse-Auburn, NY CSA",256,-0.2624986058020739,50.83,7.554863913610846,74.59
236,"Elmira-Corning, NY CSA",190,-0.5248941589335633,34.25,-0.09907819074608532,43.65
296,"Ithaca-Cortland, NY CSA",165,0.457688945204572,77.9,-3.464859034796155,26.52
464,"Rochester-Batavia-Seneca Falls, NY CSA",255,0.008757712376070094,61.33,5.3298213706377995,66.85
268,"Greensboro--Winston-Salem--High Point, NC CSA",330,-0.36353374045978365,43.09,22.618903355859743,93.92
172,"Charlotte-Concord, NC-SC CSA",365,0.2094388559497117,66.85,14.386135874464152,87.85
274,"Greenville-Washington, NC CSA",187,0.1709702074430072,65.75,-2.7422497092149363,30.39
120,"Asheville-Waynesville-Brevard, NC CSA",301,0.7418348572998918,81.22,-6.481416846149746,16.57
545,"Virginia Beach-Chesapeake, VA-NC CSA",212,1.0851746820051602,86.19,-7.267983677482769,16.02
404,"New Bern-Morehead City, NC CSA",174,0.5947413420618429,79.01,-5.359945320350759,18.78
450,"Raleigh-Durham-Cary, NC CSA",246,1.6791663790441185,93.37,-12.82458342184035,11.05
246,"Fayetteville-Lumberton-Pinehurst, NC CSA",170,-0.340577118704554,45.3,-1.3779824365639735,36.46
468,"Rocky Mount-Wilson-Roanoke Rapids, NC CSA",228,-0.6497807518956861,28.73,5.702323758793829,69.61
338,"Lima-Van Wert-Celina, OH CSA",237,-1.4627196947276844,0.55,16.107021874859925,89.5
360,"Mansfield-Ashland-Bucyrus, OH CSA",231,-1.2268700886606048,4.42,11.621762908021834,81.77
184,"Cleveland-Akron-Canton, OH CSA",381,-0.7955541559237291,21.55,52.70423326767774,100
198,"Columbus-Marion-Zanesville, OH CSA",280,-0.5126469496096132,35.91,16.283077437348865,90.06
212,"Dayton-Springfield-Kettering, OH CSA",281,-1.223249983381301,4.97,27.242088829496794,96.69
566,"Youngstown-Warren-Salem, OH CSA",284,-0.8342465979626974,18.23,19.549241055206604,93.37
248,"Findlay-Tiffin, OH CSA",183,-1.4316176940085348,1.66,3.4471599729577176,61.88
430,"Pittsburgh-Weirton-Steubenville, PA-OH-WV CSA",321,-0.4812623303751318,38.12,23.161878992462174,95.03
425,"Parkersburg-Marietta-Vienna, WV-OH CSA",199,-0.8127246209794179,19.89,2.3242931095309296,57.46
555,"Weatherford-Elk City, OK CSA",146,-0.7351314532612314,23.76,-3.018152486805917,29.28
206,"Dallas-Fort Worth, TX-OK CSA",379,1.280124585963817,88.4,-19.840796796621312,7.18
416,"Oklahoma City-Shawnee, OK CSA",270,0.37143157550217265,75.69,-0.004781658096267072,44.2
334,"Lawton-Duncan, OK CSA",134,-0.4222067993446169,40.33,-3.9038508395352127,23.76
538,"Tulsa-Bartlesville-Muskogee, OK CSA",302,0.0504414900126435,64.09,8.05158475690864,75.69
440,"Portland-Vancouver-Salem, OR-WA CSA",342,1.0491764682779887,85.64,-10.934725215468346,12.71
366,"Medford-Grants Pass, OR CSA",261,0.38528242034512034,76.24,-2.505113423724268,31.49
276,"Harrisburg-York-Lebanon, PA CSA",279,-0.8323736508704029,18.78,19.39013282631664,92.82
107,"Altoona-Huntingdon, PA CSA",219,-0.8317931800780984,19.34,5.4571456837925965,67.96
306,"Johnstown-Somerset, PA CSA",243,-0.9073504738008007,14.36,11.631796391138575,82.32
524,"State College-DuBois, PA CSA",179,-0.7205158915828485,24.31,-0.1965391452614991,43.09
558,"Williamsport-Lock Haven, PA CSA",220,-0.8061895080344788,20.99,6.6976224604517,72.38
146,"Bloomsburg-Berwick-Sunbury, PA CSA",221,-1.1027433998179301,7.18,8.755020166323765,77.9
240,"Erie-Meadville, PA CSA",246,-0.9989101445114994,10.5,12.800038339787893,84.53
273,"Greenville-Spartanburg-Anderson, SC CSA",322,-0.626899438852252,29.83,27.116717591234657,96.13
192,"Columbia-Sumter-Orangeburg, SC CSA",289,-0.05105912779931151,56.35,9.190651987061337,78.45
396,"Myrtle Beach-Conway, SC CSA",247,1.2282908511697934,86.74,-12.44949797299233,11.6
452,"Rapid City-Spearfish, SD CSA",262,0.4056542620023991,76.8,-2.50426563164587,32.04
315,"Knoxville-Morristown-Sevierville, TN CSA",296,-0.2650168768842307,50.28,12.202111039931896,82.87
400,"Nashville-Davidson--Murfreesboro, TN CSA",337,0.9665816850020152,83.43,-8.483153039010158,14.92
304,"Johnson City-Kingsport-Bristol, TN-VA CSA",245,-1.0880034475274882,9.39,13.219963997556583,85.64
542,"Union City-Martin, TN CSA",144,-0.8957438078100901,16.02,-3.14828132390006,28.73
372,"Midland-Odessa-Andrews, TX CSA",172,-0.3478922054945798,44.2,-1.5324664987062038,35.91
204,"Corpus Christi-Kingsville-Alice, TX CSA",226,0.24786042226018315,69.06,-0.6146281243691226,40.88
108,"Amarillo-Borger, TX CSA",256,-0.333383802704781,46.41,7.287198473234126,73.48
484,"San Antonio-New Braunfels-Kerrville, TX CSA",253,0.676117302079688,80.66,-4.309886049680836,22.1
288,"Houston-Pasadena, TX CSA",330,0.974645151601725,83.98,-7.969652364399135,15.47
544,"Victoria-Port Lavaca, TX CSA",206,-0.028752324167069698,57.46,-1.0347722106151156,38.12
101,"Abilene-Sweetwater, TX CSA",203,-0.2969441197001203,47.51,0.13292894645919104,45.3
154,"Brownsville-Harlingen-Raymondville, TX CSA",176,0.2389187979207896,68.51,-3.510625483879452,25.41
540,"Tyler-Jacksonville, TX CSA",239,-0.2468439933808475,51.38,2.48434308874208,58.56
352,"Lubbock-Plainview, TX CSA",235,-0.10162459899146763,55.25,2.1980005521300416,56.91
365,"McAllen-Edinburg, TX CSA",182,0.36026503154885786,75.14,-4.675317877042834,20.44
162,"Burlington-South Burlington-Barre, VT CSA",249,0.9829606207281314,85.08,-6.04900680606006,17.13
277,"Harrisonburg-Staunton-Stuarts Draft, VA CSA",210,-0.3355077285453732,45.86,1.913534779738392,54.7
393,"Moses Lake-Othello, WA CSA",130,-0.5192583157932722,34.81,-3.2210583465075415,28.18
314,"Kennewick-Richland-Walla Walla, WA CSA",176,-0.013603924493779661,60.22,-3.6017501825708487,24.86
500,"Seattle-Tacoma, WA CSA",268,2.5686503399713745,97.79,-28.217445342053853,4.42
242,"Fairmont-Clarksburg, WV CSA",167,-0.5279060044161138,33.7,-2.1139673212581074,34.25
267,"Green Bay-Shawano, WI CSA",254,-0.8968046693491686,15.47,13.758829988745864,86.74
118,"Appleton-Oshkosh-Neenah, WI CSA",242,-0.9169298560377027,13.26,11.461278034929212,81.22
232,"Eau Claire-Menomonie, WI CSA",236,-0.7078241270223501,25.97,7.681559128489359,75.14
357,"Madison-Janesville-Beloit, WI CSA",288,-0.34784527826876577,44.75,14.789532107508355,88.95
376,"Milwaukee-Racine-Waukesha, WI CSA",351,-0.4506621039252484,39.23,32.4284431257475,97.79
554,"Wausau-Stevens Point-Wisconsin Rapids, WI CSA",251,-1.0328618051939757,9.94,14.68256920161131,88.4
